date,title,url,is_price_related,preprocessed_title,positive_sentiment,negative_sentiment,neutral_sentiment,rise_present,increase_present,jump_present,surge_present,climb_present,fall_present,drop_present,decrease_present,decline_present,plunge_present,weighted_positive_sentiment,weighted_negative_sentiment,predicted_price_direction
2025-02-13,Spring Comes Early in Fort Worth with the New Ostara Coffee Roasters Cafe,https://dailycoffeenews.com/2025/02/13/spring-comes-early-in-fort-worth-with-the-new-ostara-coffee-roasters-cafe/,True,spring comes early fort worth new ostara coffee roasters cafe,0.174,0.0,0.826,0,0,0,0,0,0,0,0,0,0,0.174,0.0,neutral
2025-02-12,"Top Lot Gets $4,546/lb at Inaugural DMCC Specialty Coffee Auction in Dubai",https://dailycoffeenews.com/2025/02/12/top-lot-gets-4546-lb-at-inaugural-dmcc-specialty-coffee-auction-in-dubai/,True,top lot gets 4546lb inaugural dmcc specialty coffee auction dubai,0.167,0.0,0.833,0,0,0,0,0,0,0,0,0,0,0.167,0.0,neutral
2025-02-12,"Study: Coffee Reduces Type 2 Diabetes Risk, But Sweeteners Mess Things Up",https://dailycoffeenews.com/2025/02/12/study-coffee-reduces-type-2-diabetes-risk-but-sweeteners-mess-things-up/,True,study coffee reduces type 2 diabetes risk sweeteners mess things,0.0,0.397,0.603,0,0,0,0,0,0,0,0,0,0,0.0,0.397,fall
2025-02-11,The Hijacked Load: A Cautionary Tale for Coffee Professionals,https://dailycoffeenews.com/2025/02/11/the-hijacked-load-a-cautionary-tale-for-coffee-professionals/,True,hijacked load cautionary tale coffee professionals,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-10,Florida’s Musa Coffee Makes a Splash with Coffees Grown and Roasted in Colombia,https://dailycoffeenews.com/2025/02/10/floridas-musa-coffee-makes-a-splash-with-coffees-grown-and-roasted-in-colombia/,True,floridas musa coffee makes splash coffees grown roasted colombia,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-10,Coffee Science Foundation and ZHAW Launch Defects Research Project,https://dailycoffeenews.com/2025/02/10/coffee-science-foundation-and-zhaw-launch-defects-research-project/,True,coffee science foundation zhaw launch defects research project,0.0,0.278,0.722,0,0,0,0,0,0,0,0,0,0,0.0,0.278,neutral
2025-02-07,"The Price of Coffee is All Over the News, But What Is the Price of Coffee?",https://dailycoffeenews.com/2025/02/07/the-price-of-coffee-is-all-over-the-news-but-what-is-the-price-of-coffee/,True,price coffee news price coffee,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-07,Weekly Coffee News: A ‘Canadiano’ Movement + Education from Loring,https://dailycoffeenews.com/2025/02/07/weekly-coffee-news-a-canadiano-movement-education-from-loring/,True,weekly coffee news canadiano movement education loring,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-05,The Freezing of USAID is an Abject Disaster for the Global Coffee Sector,https://dailycoffeenews.com/2025/02/05/the-freezing-of-usaid-is-an-abject-disaster-for-the-global-coffee-sector/,True,freezing usaid abject disaster global coffee sector,0.0,0.524,0.476,0,0,0,0,0,0,0,0,0,0,0.0,0.524,fall
2025-02-05,Study: Coffee Linked to Improved Cognitive Function in Patients with Atrial Fibrillation,https://dailycoffeenews.com/2025/02/05/study-coffee-linked-to-improved-cognitive-function-in-patients-with-atrial-fibrillation/,True,study coffee linked improved cognitive function patients atrial fibrillation,0.279,0.0,0.721,0,0,0,0,0,0,0,0,0,0,0.279,0.0,neutral
2025-02-05,Three Questions with Coffee Expert Beamlak Bekele,https://dailycoffeenews.com/2025/02/05/three-questions-with-coffee-expert-beamlak-bekele/,True,three questions coffee expert beamlak bekele,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-05,"Design Details: Inside ‘The Box’ at Klim Coffee in Victoria, Australia",https://dailycoffeenews.com/2025/02/05/design-details-inside-the-box-at-klim-coffee-in-victoria-australia/,True,design details inside box klim coffee victoria australia,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-04,"Prismatic Coffee Roasters Opens Colorful First Cafe in Salem, OR",https://dailycoffeenews.com/2025/02/04/prismatic-coffee-roasters-opens-colorful-first-cafe-in-salem-or/,True,prismatic coffee roasters opens colorful first cafe salem,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-04,Brazil Rescued 200+ Coffee Workers from ‘Slave-Like’ Conditions in 2024,https://dailycoffeenews.com/2025/02/04/brazil-rescued-200-coffee-workers-from-slave-like-conditions-in-2024/,True,brazil rescued 200 coffee workers slavelike conditions 2024,0.286,0.0,0.714,0,0,0,0,0,0,0,0,0,0,0.286,0.0,neutral
2025-02-03,Longtime Long Island Roaster Georgio’s Coffee Opens Second Cafe in 20 Years,https://dailycoffeenews.com/2025/02/03/longtime-long-island-roaster-georgios-coffee-opens-second-cafe-in-20-years/,True,longtime long island roaster georgios coffee opens second cafe 20 years,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-03,Vancouver’s Artigiano Acquires Organic Specialist Salt Spring Coffee,https://dailycoffeenews.com/2025/02/03/vancouvers-artigiano-acquires-organic-specialist-salt-spring-coffee/,True,vancouvers artigiano acquires organic specialist salt spring coffee,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-31,Making Coffee Pods Recyclable is One Thing; Getting Them Recycled is Another,https://dailycoffeenews.com/2025/01/31/making-coffee-pods-recyclable-is-one-thing-getting-them-recycled-is-another/,True,making coffee pods recyclable one thing getting recycled another,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-31,Weekly Coffee News: Black is Beautiful Box + Record-High Prices,https://dailycoffeenews.com/2025/01/31/weekly-coffee-news-black-is-beautiful-box-record-high-prices/,True,weekly coffee news black beautiful box recordhigh prices,0.358,0.0,0.642,0,0,0,0,0,0,0,0,0,0,0.358,0.0,neutral
2025-01-30,Subscription Service Podium Coffee Club Champions Award-Winning Roasters,https://dailycoffeenews.com/2025/01/30/subscription-service-podium-coffee-club-champions-award-winning-roasters/,True,subscription service podium coffee club champions awardwinning roasters,0.327,0.0,0.673,0,0,0,0,0,0,0,0,0,0,0.327,0.0,neutral
2025-01-29,"Canvas Coffee + Art House Stretches Out in Greenville, SC",https://dailycoffeenews.com/2025/01/29/canvas-coffee-art-house-stretches-out-in-greenville-sc/,True,canvas coffee art house stretches greenville sc,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-29,Louisiana-Born CC’s Coffee Launches Franchise Program,https://dailycoffeenews.com/2025/01/29/louisiana-born-ccs-coffee-launches-franchise-program/,True,louisianaborn ccs coffee launches franchise program,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-28,Office Coffee Giant Eurest Rolls Out Direct Coffee Brand,https://dailycoffeenews.com/2025/01/28/office-coffee-giant-eurest-rolls-out-direct-coffee-brand/,True,office coffee giant eurest rolls direct coffee brand,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-28,Offbeat Coffee is On Point in Sacramento,https://dailycoffeenews.com/2025/01/28/offbeat-coffee-is-on-point-in-sacramento/,True,offbeat coffee point sacramento,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-27,Coffee Industry on Edge as Trump Briefly Proposes 25% Tariffs on Colombian Goods,https://dailycoffeenews.com/2025/01/27/coffee-industry-on-edge-as-trump-briefly-proposes-25-tariffs-on-colombian-goods/,True,coffee industry edge trump briefly proposes 25 tariffs colombian goods,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-27,"It’s Always Full Bloom at Tselia Coffee in Greenville, SC",https://dailycoffeenews.com/2025/01/27/its-always-full-bloom-at-tselia-coffee-in-greenville-sc/,True,always full bloom tselia coffee greenville sc,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-27,Study Confirms Coffee Rust Fungicides Toxic to Farmworkers,https://dailycoffeenews.com/2025/01/27/study-confirms-coffee-rust-fungicides-toxic-to-farmworkers/,True,study confirms coffee rust fungicides toxic farmworkers,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-24,Weekly Coffee News: Roasting 201 at Mill City + 2025 Coffee Science and Education Summit,https://dailycoffeenews.com/2025/01/24/weekly-coffee-news-roasting-201-at-mill-city-2025-coffee-science-and-education-summit/,True,weekly coffee news roasting 201 mill city 2025 coffee science education summit,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-22,Study: Coffee Extends Its Lead as Top US Caffeine Source,https://dailycoffeenews.com/2025/01/22/study-coffee-extends-its-lead-as-top-us-caffeine-source/,True,study coffee extends lead top us caffeine source,0.355,0.0,0.645,0,0,0,0,0,0,0,0,0,0,0.355,0.0,neutral
2025-01-22,"Stray Cat Coffee Finds a Home in Baker City, Oregon",https://dailycoffeenews.com/2025/01/22/stray-cat-coffee-finds-a-home-in-baker-city-oregon/,True,stray cat coffee finds home baker city oregon,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-21,Indiana’s Copper Moon Coffee Sues Cleveland Coffee Shop Following TikTok Moment,https://dailycoffeenews.com/2025/01/21/indianas-copper-moon-coffee-sues-cleveland-coffee-shop-following-tiktok-moment/,True,indianas copper moon coffee sues cleveland coffee shop following tiktok moment,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-21,Coffee Price Volatility Harms the Mental Health of Farmers,https://dailycoffeenews.com/2025/01/21/coffee-price-volatility-harms-the-mental-health-of-farmers/,True,coffee price volatility harms mental health farmers,0.0,0.348,0.652,0,0,0,0,0,0,0,0,0,0,0.0,0.348,fall
2025-01-20,"With Green Climate Fund Backing, Conservation International Launching AROMA Coffee Project",https://dailycoffeenews.com/2025/01/20/with-green-climate-fund-backing-conservation-international-launching-aroma-coffee-project/,True,green climate fund backing conservation international launching aroma coffee project,0.109,0.0,0.891,0,0,0,0,0,0,0,0,0,0,0.109,0.0,neutral
2025-01-17,Farmer Brothers Coffee Makes Two Key VP Appointments,https://dailycoffeenews.com/2025/01/17/farmer-brothers-coffee-makes-two-key-vp-appointments/,True,farmer brothers coffee makes two key vp appointments,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
